rank,name,value
1,"John Stockton",3265
2,"Chris Paul",2728
3,"Jason Kidd",2684
4,"Michael Jordan",2514
5,"Gary Payton",2445
6,"LeBron James",2417
7,"Maurice Cheeks",2310
8,"Scottie Pippen",2307
9,"Clyde Drexler",2207
10,"Hakeem Olajuwon",2162
11,"Alvin Robertson",2112
12,"Karl Malone",2085
13,"Mookie Blaylock",2075
14,"Russell Westbrook",2038
15,"Allen Iverson",1983
16,"Derek Harper",1957
17,"Kobe Bryant",1944
18,"Isiah Thomas",1861
19,"Kevin Garnett",1859
20,"James Harden",1794
21,"Andre Iguodala",1765
22,"Shawn Marion",1759
23,"Paul Pierce",1752
24,"Magic Johnson",1724
25,"Metta World Peace",1721
26,"Ron Harper",1716
27,"Fat Lever",1666
28,"Charles Barkley",1648
29,"Mike Conley",1638
29,"Gus Williams",1638
31,"Trevor Ariza",1628
32,"Hersey Hawkins",1622
33,"Eddie Jones",1620
33,"Dwyane Wade",1620
35,"Rod Strickland",1616
36,"Thaddeus Young",1612
37,"Mark Jackson",1608
38,"Jason Terry",1603
39,"Stephen Curry",1602
40,"Paul George",1601
41,"Terry Porter",1583
42,"Doc Rivers",1563
43,"Larry Bird",1556
44,"Doug Christie",1555
45,"Andre Miller",1546
46,"Nate McMillan",1544
47,"Jeff Hornacek",1536
48,"Vince Carter",1530
48,"Baron Davis",1530
48,"Chris Mullin",1530
51,"Jrue Holiday",1527
52,"Kendall Gill",1519
53,"Rajon Rondo",1518
54,"Julius Erving",1508
55,"Reggie Miller",1505
56,"Kyle Lowry",1501
57,"Dennis Johnson",1477
58,"Michael Ray Richardson",1463
59,"Jimmy Butler",1455
60,"Ray Allen",1451
61,"Jerome Kersey",1439
62,"Tim Hardaway",1428
63,"Monta Ellis",1409
64,"Randy Smith",1403
65,"Clifford Robinson",1402
66,"Manu Ginóbili",1392
67,"David Robinson",1388
68,"Dominique Wilkins",1378
69,"Kawhi Leonard",1377
70,"Muggsy Bogues",1369
70,"Ben Wallace",1369
72,"Derek Fisher",1352
73,"Charles Oakley",1351
74,"Rickey Green",1348
75,"Quinn Buckner",1337
76,"Paul Millsap",1327
77,"T.R. Dunn",1316
78,"Latrell Sprewell",1294
79,"Alvan Adams",1289
80,"Vlade Divac",1288
81,"Walter Davis",1280
81,"David Wesley",1280
83,"John Lucas",1273
84,"Kenny Anderson",1258
85,"Terry Cummings",1255
86,"DeMar DeRozan",1250
87,"Grant Hill",1248
88,"Draymond Green",1244
89,"Kevin Durant",1236
90,"Rudy Gay",1231
91,"Brevin Knight",1229
92,"Tyrone Corbin",1228
93,"Ricky Rubio",1226
94,"Byron Scott",1224
95,"Carmelo Anthony",1223
96,"Robert Parish",1219
97,"Mitch Richmond",1211
98,"Dirk Nowitzki",1210
99,"Reggie Theus",1206
100,"Gerald Wallace",1200
101,"Grant Long",1199
102,"Ray Williams",1198
103,"Chris Webber",1197
104,"Dan Majerle",1194
105,"Norm Nixon",1187
106,"Shawn Kemp",1185
107,"Jamal Crawford",1179
108,"Mike Bibby",1172
109,"Andre Drummond",1171
110,"Calvin Murphy",1165
111,"Caron Butler",1163
112,"Jack Sikma",1162
113,"Kareem Abdul-Jabbar",1160
113,"Don Buse",1160
115,"Tony Allen",1158
115,"Robert Horry",1158
117,"Jay Humphries",1153
118,"Chris Ford",1152
119,"Fred Brown",1149
120,"Raymond Felton",1144
121,"Horace Grant",1143
122,"Terrell Brandon",1142
123,"Sedale Threatt",1138
124,"Patrick Ewing",1136
124,"Tracy McGrady",1136
126,"Danny Ainge",1133
126,"Darrell Armstrong",1133
128,"Anfernee Hardaway",1125
129,"Sleepy Floyd",1120
129,"Lindsey Hunter",1120
131,"Rashard Lewis",1115
132,"Nick Anderson",1114
133,"Stephen Jackson",1109
134,"Sam Perkins",1105
135,"Rick Barry",1104
136,"Kentavious Caldwell-Pope",1100
137,"Andrei Kirilenko",1097
138,"Larry Hughes",1092
139,"Darrell Walker",1090
139,"Rasheed Wallace",1090
141,"Moses Malone",1089
142,"Lester Conner",1085
142,"Ricky Sobers",1085
142,"Antoine Walker",1085
145,"Josh Smith",1083
146,"Kevin Johnson",1082
